X,CH1,
Second,Volt,
-1.1650000e-01,-1.00000e-02,
-1.1648000e-01,-8.00000e-03,
-1.1645999e-01,-8.00000e-03,
-1.1643999e-01,-8.00000e-03,
-1.1641999e-01,-8.00000e-03,
-1.1640000e-01,-8.00000e-03,
-1.1638000e-01,-8.00000e-03,
-1.1636000e-01,-8.00000e-03,
-1.1633999e-01,-8.00000e-03,
-1.1631999e-01,-1.00000e-02,
-1.1629999e-01,-8.00000e-03,
-1.1628000e-01,-1.00000e-02,
-1.1626000e-01,-8.00000e-03,
-1.1623999e-01,-1.00000e-02,
-1.1621999e-01,-1.00000e-02,
-1.1619999e-01,-1.00000e-02,
-1.1618000e-01,-1.00000e-02,
-1.1616000e-01,-1.00000e-02,
-1.1614000e-01,-1.00000e-02,
-1.1611999e-01,-1.00000e-02,
-1.1609999e-01,-1.00000e-02,
-1.1607999e-01,-1.00000e-02,
-1.1606000e-01,-1.00000e-02,
-1.1604000e-01,-1.00000e-02,
-1.1602000e-01,-1.00000e-02,
-1.1599999e-01,-1.00000e-02,
-1.1597999e-01,-1.20000e-02,
-1.1595999e-01,-1.20000e-02,
